class,final_student_ap,final_teacher_ap
person,37.8228,37.8850
rider,41.9815,46.3563
car,51.6119,51.8784
truck,27.9705,26.4198
bus,36.0435,39.2177
train,27.9857,23.1818
motorcycle,27.3479,33.0143
bicycle,38.7631,39.7192
overall_mAP_AP50_95,20.0745,21.1618
AP50,36.1909,37.2091
AP75,18.3170,20.7440
